z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,AR,N2
0.077500000000000013,0.014656670612620736,0.50141299589399813,305.47264245123762,1.110745375493764,0.0,2.954346899346831e-23,3.6904743972768645e-19,0.19082343897300008,8.6917733540207081e-16,0.0014077458698251322,7.7622690828645124e-11,4.7377850369070918e-11,0.0,9.9281362629638524e-38,4.4224668753334302e-24,2.3235469415869646e-25,1.403425718270451e-10,0.086080012684354862,5.5117154630198216e-08,0.00023792686472355918,2.5293762518518568e-23,5.9507791532771909e-09,1.6544130893445864e-26,1.9700944029229249e-15,2.7273895377431288e-11,0.0,7.1992875798835286e-14,5.6776069633981067e-28,5.843409466610696e-11,3.7059505915124655e-21,7.3887150481181651e-09,1.7834335786641731e-30,3.140215931863051e-17,1.9869126938556582e-18,0.0091322953062835926,0.71231851149403791
0.080000000000000002,0.012478416031149801,0.52066352250815151,313.9790245981975,1.0803623214436109,0.0,3.235451578928291e-22,4.6418565785438716e-18,0.18920323081667448,3.7711669849374945e-15,0.0035296462435042636,2.0604895000929105e-10,1.2601182482840547e-10,0.0,1.6854773548315885e-35,3.7176624714278901e-23,1.9845633342861375e-24,2.7258807670110814e-10,0.085077492210134525,1.4626162093134337e-07,0.0007497867051273608,3.3941324020906307e-22,1.8866881868801328e-08,2.2384697286758424e-25,9.7251998991871873e-15,8.7647424201676277e-11,0.0,2.1882753070960112e-13,8.4409647161543605e-27,1.8196129746598243e-10,4.9858142496818196e-20,2.4403074946848429e-08,2.0428086218894119e-29,1.1039515301817513e-16,6.9851203667706144e-18,0.0091321592654172341,0.71230749435307428
0.081249999999999989,0.011475771916643561,0.53136815104369373,322.20433411477052,1.0525615944695446,0.0,1.0716190987499375e-21,1.0527921955714818e-17,0.18756640342283451,7.4679304914069781e-15,0.0055357583703226484,3.3521850759064884e-10,2.0410649926541957e-10,2.2658013703705285e-38,0.0,1.0458939200662883e-22,5.6621588796160145e-24,3.8885140835169103e-10,0.084132667031281014,2.3717395862078387e-07,0.0013393038818178137,1.1982524048393674e-21,3.3781246366068749e-08,7.8257326560037172e-25,2.1598751280663635e-14,1.5820558570298269e-10,0.0,3.8285090124075698e-13,3.400665168176478e-26,3.2271097776727092e-10,1.6897792490975777e-19,4.4761980398482786e-08,6.1129936496284984e-29,2.1016542859761402e-16,1.3298076148883216e-17,0.0091319810400895488,0.71229356912696395
0.08249999999999999,0.010558821417342967,0.54296933745184106,334.81602654943219,1.0126630583222183,0.0,3.4697152903605656e-21,1.8371432328368662e-17,0.18499400536588326,1.3877038048198586e-14,0.0085240314818005522,5.3822194942765133e-10,3.2499343143424589e-10,7.4098846576095555e-40,7.9414136688167677e-36,2.8040627310852415e-22,1.5479018317101603e-23,5.6614525634811033e-10,0.082721630943588781,3.7874413057718531e-07,0.0023609231934865233,3.957347614136286e-21,5.9627319432626076e-08,2.5302116025955531e-24,4.7003231519168339e-14,2.816327411360909e-10,0.0,6.6058805012343379e-13,1.3885464127351607e-25,5.6450838118609063e-10,5.1812363956505906e-19,8.1079041248610467e-08,1.5991348096343611e-28,3.955955038087995e-16,2.503131061558038e-17,0.0091316369249546149,0.71226725036357141
0.083749999999999991,0.0097259904004382818,0.55508021520201434,353.02071215025722,0.9602087445393229,0.0,1.063590893037762e-20,2.4435703691555526e-17,0.18121602133379414,2.3587547415546369e-14,0.012684302111715964,8.3818424067541526e-10,4.994967766421452e-10,4.8686816184677178e-33,2.835015395486171e-35,6.938953566299973e-22,3.9240066972907327e-23,8.377355476542297e-10,0.08074179771937183,5.8511383188915982e-07,0.0039993596468087334,1.1726566024999827e-20,1.0096851157653656e-07,7.226132096638346e-24,9.7025507097992376e-14,4.8082112182756574e-10,8.9413430175633396e-37,1.0967707269296833e-12,5.5918168390656166e-25,9.4897191306436928e-10,1.3709612293708562e-18,1.408546254653636e-07,3.3772331718776962e-28,7.1204022820449853e-16,4.5054911376154325e-17,0.0091310977338466687,0.71222659091106622
0.084999999999999992,0.0089560933938854382,0.56667431531547896,377.67043633012594,0.8973870441654812,0.0,3.1220925400620856e-20,2.4888106362617833e-17,0.17604158448370741,3.653900302860583e-14,0.018089122330982976,1.2541347659560867e-09,7.3402783448949925e-10,0.0,0.0,1.5692355967070546e-21,9.1054201526133234e-23,1.2529349442474118e-09,0.078135658025184559,8.6623817454967171e-07,0.0064243968540107681,3.1387933399511713e-20,1.6181472099439801e-07,1.8185298551408873e-23,1.8539597162661604e-13,7.7646163542592354e-10,7.169111285975637e-35,1.7304742182088395e-12,2.2505671662065531e-24,1.5131969572279397e-09,3.1299203407035866e-18,2.3135026398647341e-07,5.5943930432492378e-28,1.2060390092146962e-15,7.6314073038168547e-17,0.0091304394427807155,0.7121775339274643
0.086249999999999993,0.0082113118774281377,0.57599685161084824,408.9649455676323,0.82870554577344,0.0,1.0846913605153433e-19,2.069454815960956e-17,0.16941689262862644,5.2416317825354166e-14,0.024664014596805034,1.7963534756703134e-09,1.0284438774611951e-09,8.3786375404031179e-33,0.0,3.2828994293430501e-21,1.9476336139610517e-22,1.8828056874015218e-09,0.074908332077173123,1.2249871635045223e-06,0.0097438001011478249,8.057723241470933e-20,2.4439314860075464e-07,4.2139120832656691e-23,3.2362798656159207e-13,1.1808819273982145e-09,1.5381998076738803e-33,2.5839886919434707e-12,9.5165621482858559e-24,2.2790808448234125e-09,6.4483708254982506e-18,3.5758648696587794e-07,7.7769270365216431e-28,1.9125976611050367e-15,1.2102427987671345e-16,0.0091298626693135411,0.71213526278960682
0.087499999999999994,0.0074485325622710655,0.5807169959348405,446.34870405566113,0.7594530565009555,0.0,8.4980291348528226e-19,1.6315372959453765e-17,0.16143770029088106,7.1589795207428873e-14,0.032212703844300687,2.4644240658310831e-09,1.3761903628036432e-09,5.5382062618551219e-32,2.7994969377533605e-35,6.5337317249569441e-21,3.9261888381258196e-22,2.8289631798881526e-09,0.071124053639543119,1.6565392576741607e-06,0.013973953720971141,2.1931048051539288e-19,3.4847045534018977e-07,9.9913465142614986e-23,5.1644556949532725e-13,1.6944006301008012e-09,2.3267018052896667e-32,3.6567422519986575e-12,4.4374234342767221e-23,3.2471915795792366e-09,1.3075392120098939e-17,5.2089584972435223e-07,1.0621448905717373e-27,2.8448339182086931e-15,1.8001597277445531e-16,0.0091296297815949192,0.71211942120172855
0.088749999999999996,0.0066337198107984247,0.57827594266385474,488.6631885039161,0.6940096181398066,0.0,1.2104677090569204e-17,1.8327368351391077e-17,0.152315888546944,9.6014300288197099e-14,0.040476857859034272,3.2487555778003402e-09,1.7662968039687812e-09,7.8153921854724537e-31,0.0,1.2815414856930405e-20,7.6897991711540743e-22,4.238766771287972e-09,0.066886427533115092,2.1500537701038511e-06,0.019041009625438962,6.7984373875680805e-19,4.7152876845747785e-07,2.8770688951830475e-22,7.6295474409674095e-13,2.3058244094806789e-09,2.6095750602750097e-31,4.9267606210814373e-12,2.2418534675707866e-22,4.397823153338662e-09,2.9209582760804471e-17,7.1870418702199431e-07,1.6332809576366907e-27,3.9912110564280814e-15,2.5255937681861515e-16,0.009129963503961204,0.71214649668152408
0.089999999999999997,0.0057522495561631694,0.56627430808245616,534.45133225592895,0.6350070136996472,0.0,1.5365027461405295e-16,6.3729125417940812e-17,0.1423251971643793,1.3071562300123331e-13,0.049194311102925804,4.1343394364649543e-09,2.1858849087801576e-09,8.314494556113457e-37,3.5085106860260152e-34,2.5822800397548655e-20,1.5204739068494204e-21,6.3327511940818871e-09,0.062314913758014907,2.6913841430489932e-06,0.024805450547532602,2.3347764721209958e-18,6.095270065850973e-07,1.1139560176387545e-21,1.0612845106958214e-12,2.9958149115526825e-09,2.1846566236653515e-30,6.3573913395294939e-12,1.1370066404858022e-21,5.6972201336943225e-09,7.7258071470767099e-17,9.4538626262606917e-07,3.2993063597402751e-27,5.3202520956966005e-15,3.3666278182006626e-16,0.0091309806137171642,0.71222487916245192
